ID	AUTHOR	YEAR	TAGS	SOURCE_LANGUAGE	TARGET_LANGUAGE	URL	REFS	NOTE	ALIAS
Alonso-2015-AoA	Alonso, M. A. and Fernandez, A. and Díez, E.	2015	ratings	Spanish (Spain)	SPANISH	https://doi.org/10.3758/s13428-014-0454-2	Alonso2015	This list includes subjective estimations of age of acquisition (AoA) for Spanish words. The ratings were collected from college students in Spain. Oral frequency norms are taken from [Alonso et al. (2011)](:bib:Alonso2011).	
Brysbaert-2009-Frequency	Brysbaert, Marc and New, Boris	2009	norms	English (US)	ENGLISH	https://doi.org/10.3758/BRM.41.4.977	Brysbaert2009	This list includes word frequencies based on television and film subtitles in US American English. 	SUBTLEX-US
Brysbaert-2011-Frequency	Brysbaert, Marc and Buchmeier, Matthias and Conrad, Markus and Jacobs, Arthur M. and Bölte, Jens and Böhl, Andrea	2011	norms	German	GERMAN	https://www.ncbi.nlm.nih.gov/pubmed/21768069	Brysbaert2011	This list includes word frequencies based on television and film subtitles in German. 	SUBTLEX-DE
Brysbaert-2014-Concreteness	Brysbaert, Marc and Warriner, Amy Beth and Kuperman, Victor	2014	ratings	English	ENGLISH	https://doi.org/10.3758/s13428-013-0403-5	Brysbaert2014	This list includes concreteness ratings  from over 4,000 participants by means of a norming study using Internet crowdsourcing for data collection. The ratings were obtained on a 5-point rating scale going from abstract to concrete.	
Brysbaert-2019-Prevalence	Brysbaert, Marc and Mandera, Pawel and McCormick, Samantha F. and Keuleers, Emmanuel	2019	ratings	English	ENGLISH	https://doi.org/10.3758/s13428-018-1077-9	Brysbaert2019	This list includes word prevalence ratings. Word prevalence refers to the number of people who know the word. The measure was obtained on the basis of an online crowdsourcing study involving over 220,000 people.	
Cai-2010-Frequency	Cai, Q. and Brysbaert, M.	2010	norms	Chinese	CHINESE	http://www.ugent.be/pp/experimentele-psychologie/en/research/documents/subtlexch/cai.pdf	Cai2010	This list includes word frequencies based on television and film subtitles in Chinese. 	SUBTLEX-CH
Cuetos-2011-Frequency	Cuetos, Fernando and Glez-Nosti, Maria and Barbon, Analia and Brysbaert, Marc	2011	norms	Spanish	SPANISH	http://crr.ugent.be/papers/CUETOS%20et%20al%202011.pdf	Cuetos2011	This list includes Spanish word frequencies taken from contemporary movies and TV series (screened between 1990 and 2009).	SUBTLEX-ESP
Desrochers-2009-SubjFrequency	Desrochers, Alain and Thompson, Glenn L.	2009	ratings	French	FRENCH	https://doi.org/10.3758/BRM.41.2.546	Desrochers2009	This list includes subjective frequency and imageability estimates for French nouns. The data were collected from two independent groups of 72 young adults each. They rated the words on a 7-point scale.	
Engelthaler-2018-Humor	Engelthaler, Tomas and Hills, Thomas T.	2018	ratings	English	ENGLISH	https://link.springer.com/article/10.3758/s13428-017-0930-6	Engelthaler2018	This list includes humor ratings for English words. The data was collected from 821 participants using an online crowd-sourcing platform. Each participant rated 211 words on a scale from 1 (humorless) to 5 (humorous).	
Juhasz-2013-SER	Juhasz, Barbara J. and Yap, Melvin J.	2013	ratings	English	ENGLISH	https://doi.org/10.3758/s13428-012-0242-9	Juhasz2013	This list includes sensory experience ratings (SER) for English words. Sensory experience ratings reflect the extent to which a word evokes a sensory and/or perceptual experience in the mind of the reader. Participants were asked to rate the degree to which each word evoked a sensory experience, on a 1 to 7 scale, with higher numbers indicating a greater sensory experience.	
Keuleers-2010-Frequency	Keuleers, Emmanuel and Brysbaert, Marc and New, Boris	2010	norms	Dutch	DUTCH	https://doi.org/10.3758/BRM.42.3.643	Keuleers2010	This list includes word frequencies based on television and film subtitles in Dutch. 	SUBTLEX-NL
Kuperman-2012-AoA	Kuperman, Victor and Stadthagen-Gonzalez, Hans and Brysbaert, Marc	2012	ratings	English	ENGLISH	https://doi.org/10.3758/s13428-012-0210-4	Kuperman2012	This list includes age-of-acquisition (AoA) ratings for English content words (nouns, verbs, and adjectives). For data collection, this megastudy used the Web-based crowdsourcing technology offered by the Amazon Mechanical Turk.	
Riegel-2015-AffectiveRatings	Riegel, Monika and Wierzba, Malgorzata and Wypych, Marek and Zurawski, Lukasz and Jednorog, Katarzyna and Grabowska, Anna and Marchewka, Artur	2015	ratings	Polish	POLISH	https://doi.org/10.3758/s13428-014-0552-1	Riegel2015	This list includes the Nencki Affective Word List (NAWL): the cultural adaptation of the Berlin Affective Word List–Reloaded (BAWL-R) for Polish. The data include nouns, verbs, and adjectives, with ratings of emotional valence, arousal, and imageability.	NAWL
Scott-2019-Ratings	Scott, Graham G. and Keitel, Anne and Becirspahic, Marc and Yao, Bo and Sereno, Sara C.	2019	ratings	English	ENGLISH	https://doi.org/10.3758/s13428-018-1099-3	Scott2019	This list includes the Glasgow Norms: a set of normative ratings for English words on nine psycholinguistic dimensions: arousal, valence, dominance, concreteness, imageability, familiarity, age of acquisition, semantic size, and gender association. The first three values (arousal, valence, dominance) are rated on a 9-point scale, all others are rated on a 7-point scale.	Glasgow Norms
StadthagenGonzalez-2017-ValenceArousal	Stadthagen-Gonzalez, Hans and Imbault, Constance and Sanchez, Miguel A Perez and Brysbaert, Marc	2017	ratings	Spanish	SPANISH	https://doi.org/10.3758/s13428-015-0700-2	StadthagenGonzalez2017	This list includes valence and arousal ratings for Spanish words. Participants rated the words on a 9-point scale.	
Starostin-2000-Sense	Sergei Starostin	2000	relations	English	ENGLISH	http://starling.rinet.ru/program.php?lan=en	Starostin2000	This list includes sense relations for English submitted with the STARLING database program.	
Warriner-2013-AffectiveRatings	Warriner, Amy Beth and Kuperman, Victor and Brysbaert, Marc	2013	ratings	English	ENGLISH	https://doi.org/10.3758/s13428-012-0314-x	Warriner-2013	This list includes ratings on valence (the pleasantness of a stimulus), arousal (the intensity of emotion provoked by a stimulus), and dominance (the degree of control exerted by a stimulus). Participants rated the words on a 9-point scale.	
