CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_FREQUENCY	ENGLISH_FREQUENCY_CBEEBIES	ENGLISH_FREQUENCY_CBBC	ENGLISH_FREQUENCY_BNC	ENGLISH_FREQUENCY_LOG	ENGLISH_FREQUENCY_LOG_CBEEBIES	ENGLISH_FREQUENCY_LOG_CBBC	ENGLISH_FREQUENCY_LOG_BNC	ENGLISH_CD	ENGLISH_CD_CBEEBIES	ENGLISH_CD_CBBC	ENGLISH_POS	ENGLISH_WORD_HOMOPHONIC	ENGLISH_WORD_DOUBLE	ENGLISH_FREQUENCY_DOUBLE	LINE_IN_SOURCE
1	CONTEMPTIBLE	contemptible	32	0	3	75	2.2142496660724778	2.2309921290562262	2.4662597080258513	2.8784315173480306	30	0	2	adjective				37043
10	FIREWOOD	firewood	211	23	15	196	3.022071587123342	3.611203370767832	3.0683196993538138	3.292084151228832	145	10	11	noun		fire wood	16	19349
100	FAITHFUL	faithful	1326	11	37	1025	3.818606649059026	3.310173375103851	3.443983313314699	4.008765285843037	1077	10	33	adjective				8428
1000	ANXIETY	anxiety	1598	0	18	2657	3.8995841899408252	2.2309921290562262	3.1429533176507176	4.422172901673952	1212	0	18	noun				7736
1001	BLACKSMITH	blacksmith	462	29	3	277	3.3613167172125435	3.7081133837758884	2.4662597080258513	3.4416627209853154	219	13	3	noun				13658
1002	STATUE	statue	2105	161	194	932	4.019194093044058	4.4405071435988575	4.154234328060407	3.9674995688137393	1157	40	91	noun				6844
1003	PERMIT	permit	574	0	7	1638	3.455403570884221	2.2309921290562262	2.7672897036898325	4.212196878637738	451	0	7	noun				12381
1004	MUSCLE	muscle	2621	16	359	1783	4.114368413548656	3.4614410504345	4.420502217465176	4.249012775107343	1750	15	254	noun	muscle, mussel			6146
1005	TWINS	twins	2438	213	334	1153	4.082947526508321	4.561405902405417	4.3892445237347335	4.059823733886952	1164	53	154	noun				6358
1006	BRICK	brick	3022	67	143	1861	4.176173873372408	4.063501041762462	4.022562208793138	4.267597601712563	1946	31	85	noun				5774
1008	BULL	bull	3844	61.00000000000001	310	1826	4.28063207033204	4.02338381855448	4.356960105724726	4.2593564724197766	1854	22	147	noun				5147
1009	CHESTNUT TREE	buckeye	3	0	0	9	1.2977957175225527	2.2309921290562262	1.8641997166978888	1.9976179250672392	3	0	0	noun				59054
101	BOAST	boast	597	13	42	460	3.472436910183001	3.377120164734464	3.4976681722774754	3.6613188504568877	544	10	27	verb				12171
1011	BRIDGE	bridge	10264	367	592	6520	4.707094679901201	4.796839947729744	4.637254410062152	4.811932125274699	4408	117	199	noun				3474
1012	LATCH	latch	281	16	18	255	3.1459848345139516	3.4614410504345	3.1429533176507176	3.405857890379089	223	9	13	verb				17144
1013	FRESHWATER EEL	eel	731	23	131	191	3.560246807252982	3.611203370767832	3.984773647903739	3.280919153770789	266	10	49	noun				11109
1014	OR	or	394860	8336	21806	370855	6.292179967246366	6.1520019305532605	6.20279564027472	6.566823234829538	40741	2717	4255	conjunction	hors(2), oar, or, ore			2026
1016	DRIZZLE	drizzle	1380	20	32	250	3.8359294047732218	3.5532114237901453	3.3827136565757763	3.397291646548277	923	8	15	noun				8279
