CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	VALENCE_LANGUAGE_OMEGAWIKI_NRCVAD	AROUSAL_LANGUAGE_OMEGAWIKI_NRCVAD	DOMINANCE_LANGUAGE_OMEGAWIKI_NRCVAD	VALENCE_LANGUAGE_FAMILY_OMEGAWIKI_NRCVAD	AROUSAL_LANGUAGE_FAMILY_OMEGAWIKI_NRCVAD	DOMINANCE_LANGUAGE_FAMILY_OMEGAWIKI_NRCVAD	VALENCE_MEAN_OMEGAWIKI_NRCVAD	AROUSAL_MEAN_OMEGAWIKI_NRCVAD	DOMINANCE_MEAN_OMEGAWIKI_NRCVAD	LINE_IN_SOURCE
100	FAITHFUL	faithful	0.896	0.265	0.657	0.896	0.265	0.657	0.896	0.265	0.657	1348
1000	ANXIETY	anxiety	0.19	0.7935	0.3595	0.19	0.7935	0.3595	0.19	0.7935	0.3595	1876
1002	STATUE	statue	0.75	0.346	0.49	0.75	0.346	0.49	0.75	0.346	0.49	7132
1003	PERMIT	allow	0.631483870967742	0.457483870967742	0.583096774193548	0.6425	0.453	0.596	0.6425	0.453	0.596	2465
1005	TWINS	twins	0.531	0.32	0.327	0.531	0.32	0.327	0.531	0.32	0.327	7009
1007	COW	cow	0.21	0.804	0.632	0.21	0.804	0.632	0.21	0.804	0.632	2470
1010	BOUNDARY	boundary	0.406	0.382	0.424	0.406	0.382	0.424	0.406	0.382	0.424	4608
1014	OR	or	0.453333333333333	0.361666666666667	0.401333333333333	0.453333333333333	0.361666666666667	0.401333333333333	0.453333333329997	0.361666666664005	0.401333333330379	4024
1017	APPEARANCE	appearance	0.550142857142857	0.445571428571429	0.545	0.550142857142857	0.445571428571429	0.545	0.6078	0.3946	0.5086	1228
1019	RIGHT	right	0.746769230769231	0.428153846153846	0.746076923076923	0.747333333333333	0.375	0.722833333333333	0.7488	0.3796	0.7254	3588
1024	CHARACTER	character	0.635	0.279	0.342	0.635	0.279	0.342	0.635	0.279	0.342	3807
1027	BUG	bug	0.279617647058824	0.516235294117647	0.270441176470588	0.286623076923077	0.490261538461538	0.274784615384615	0.274533333333333	0.53	0.286733333333333	83
1030	NECESSARY	necessary	0.542448863636364	0.529538352272727	0.757623579545454	0.5445	0.531579545454545	0.758534090909091	0.538	0.53265625	0.74303125	2517
1031	ON PURPOSE	on purpose	0.56276182881628	0.567152103604174	0.678669087474203	0.562177813277626	0.566171085373721	0.677970415655433	0.561175320708613	0.562068417837508	0.678535125229078	2536
1032	CITIZEN	citizen	0.7	0.229	0.598	0.7	0.229	0.598	0.7	0.229	0.598	625
1033	GRIND	grind	0.333	0.48	0.423	0.333	0.48	0.423	0.333	0.48	0.423	6910
1035	GOOD	good	0.89	0.53	0.822	0.89	0.53	0.822	0.89	0.53	0.822	4140
1036	OWNER	owner	0.649	0.4325	0.6725	0.63325	0.448	0.69	0.63325	0.448	0.69	5885
1038	TEACHER	teacher	0.578	0.34925	0.578875	0.63	0.38175	0.673625	0.552	0.333	0.5315	5745
1039	SHOW	show	0.686642857142857	0.480892857142857	0.57825	0.670866666666667	0.46705	0.585883333333333	0.674454545454545	0.48425	0.578840909090909	2604
1041	INCREASE	increase	0.885	0.685	0.765	0.885	0.685	0.765	0.885	0.685	0.765	1324
1044	PILLOW	pillow	0.653	0.221	0.292	0.653	0.221	0.292	0.653	0.221	0.292	5926
1046	SHUT	close	0.489638512692291	0.419897449306502	0.471877557175464	0.48310048954862	0.455650021322377	0.429690909151475	0.48578379767247	0.457107800239746	0.430997340422886	735
